x,y
tensor(0.9737),tensor(-0.2277)
tensor(0.3222),tensor(0.9467)
tensor(0.9665),tensor(-0.2568)
tensor(0.3366),tensor(0.9416)
tensor(0.9579),tensor(-0.2873)
tensor(0.2746),tensor(0.9616)
tensor(0.8518),tensor(0.5238)
tensor(0.3222),tensor(0.9467)
tensor(0.1397),tensor(0.9902)
tensor(0.1397),tensor(0.9902)
tensor(0.9579),tensor(-0.2873)
tensor(0.1397),tensor(0.9902)
tensor(0.4588),tensor(0.8885)
tensor(0.9222),tensor(0.3867)
tensor(0.9222),tensor(0.3867)
tensor(0.8518),tensor(0.5238)
tensor(0.9579),tensor(-0.2873)
tensor(0.8518),tensor(0.5238)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.5374),tensor(0.8433)
tensor(0.9665),tensor(-0.2568)
tensor(0.2746),tensor(0.9616)
tensor(0.9734),tensor(-0.2289)
tensor(0.6629),tensor(0.7487)
tensor(0.1691),tensor(0.9856)
tensor(0.2746),tensor(0.9616)
tensor(0.3366),tensor(0.9416)
tensor(0.9984),tensor(-0.0571)
tensor(0.9222),tensor(0.3867)
tensor(0.1691),tensor(0.9856)
tensor(0.3222),tensor(0.9467)
tensor(0.5374),tensor(0.8433)
tensor(0.9665),tensor(-0.2568)
tensor(0.9487),tensor(-0.3161)
tensor(0.2746),tensor(0.9616)
tensor(0.9725),tensor(-0.2327)
tensor(0.2746),tensor(0.9616)
tensor(0.9222),tensor(0.3867)
tensor(0.4085),tensor(0.9127)
tensor(0.9487),tensor(-0.3161)
tensor(0.9085),tensor(-0.4180)
tensor(0.3366),tensor(0.9416)
tensor(0.3335),tensor(0.9427)
tensor(0.1397),tensor(0.9902)
tensor(0.1397),tensor(0.9902)
tensor(0.3335),tensor(0.9427)
tensor(0.3366),tensor(0.9416)
tensor(0.9487),tensor(-0.3161)
tensor(0.9430),tensor(-0.3328)
tensor(0.4588),tensor(0.8885)
tensor(0.9734),tensor(-0.2289)
tensor(0.9734),tensor(-0.2289)
tensor(0.9273),tensor(-0.3742)
tensor(0.2852),tensor(0.9585)
tensor(0.9085),tensor(-0.4180)
tensor(0.5374),tensor(0.8433)
tensor(0.9737),tensor(-0.2277)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.9273),tensor(-0.3742)
tensor(0.9222),tensor(0.3867)
tensor(0.2852),tensor(0.9585)
tensor(0.2746),tensor(0.9616)
tensor(0.9646),tensor(-0.2638)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.3522),tensor(0.9359)
tensor(0.1691),tensor(0.9856)
tensor(0.9085),tensor(-0.4180)
tensor(0.9665),tensor(-0.2568)
tensor(0.3366),tensor(0.9416)
tensor(0.9579),tensor(-0.2873)
tensor(0.9231),tensor(-0.3845)
tensor(0.1397),tensor(0.9902)
tensor(0.9725),tensor(-0.2327)
tensor(0.3335),tensor(0.9427)
tensor(0.1397),tensor(0.9902)
tensor(0.9085),tensor(-0.4180)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.8518),tensor(0.5238)
tensor(0.9231),tensor(-0.3845)
tensor(0.3366),tensor(0.9416)
tensor(0.9085),tensor(-0.4180)
tensor(0.9487),tensor(-0.3161)
tensor(0.5374),tensor(0.8433)
tensor(0.3742),tensor(0.9274)
tensor(0.9734),tensor(-0.2289)
tensor(0.2746),tensor(0.9616)
tensor(0.7843),tensor(0.6203)
tensor(0.5374),tensor(0.8433)
tensor(0.4085),tensor(0.9127)
tensor(0.3742),tensor(0.9274)
tensor(0.3742),tensor(0.9274)
tensor(0.2220),tensor(0.9751)
tensor(0.1397),tensor(0.9902)
tensor(0.1397),tensor(0.9902)
tensor(0.2852),tensor(0.9585)
tensor(0.3522),tensor(0.9359)
tensor(0.9737),tensor(-0.2277)
tensor(0.9725),tensor(-0.2327)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.9487),tensor(-0.3161)
tensor(0.9487),tensor(-0.3161)
tensor(0.3222),tensor(0.9467)
tensor(0.9680),tensor(-0.2510)
tensor(0.8518),tensor(0.5238)
tensor(0.9273),tensor(-0.3742)
tensor(0.9984),tensor(-0.0571)
tensor(0.8518),tensor(0.5238)
tensor(0.4588),tensor(0.8885)
tensor(0.5374),tensor(0.8433)
tensor(0.9222),tensor(0.3867)
tensor(0.3742),tensor(0.9274)
tensor(0.9487),tensor(-0.3161)
tensor(0.3222),tensor(0.9467)
tensor(0.8518),tensor(0.5238)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.9085),tensor(-0.4180)
tensor(0.3366),tensor(0.9416)
tensor(0.9579),tensor(-0.2873)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.9677),tensor(-0.2523)
tensor(0.3222),tensor(0.9467)
tensor(0.5374),tensor(0.8433)
tensor(0.9734),tensor(-0.2289)
tensor(0.9222),tensor(0.3867)
tensor(0.9737),tensor(-0.2277)
tensor(0.3366),tensor(0.9416)
tensor(0.3522),tensor(0.9359)
tensor(0.1691),tensor(0.9856)
tensor(0.9222),tensor(0.3867)
tensor(0.9487),tensor(-0.3161)
tensor(0.3742),tensor(0.9274)
tensor(0.1397),tensor(0.9902)
tensor(0.2585),tensor(0.9660)
tensor(0.3222),tensor(0.9467)
tensor(0.5374),tensor(0.8433)
tensor(0.9273),tensor(-0.3742)
tensor(0.3222),tensor(0.9467)
tensor(0.1397),tensor(0.9902)
tensor(0.1691),tensor(0.9856)
tensor(0.3222),tensor(0.9467)
tensor(0.9222),tensor(0.3867)
tensor(0.3366),tensor(0.9416)
tensor(0.3335),tensor(0.9427)
tensor(0.8518),tensor(0.5238)
tensor(0.2746),tensor(0.9616)
tensor(0.3222),tensor(0.9467)
tensor(0.3222),tensor(0.9467)
tensor(0.2746),tensor(0.9616)
tensor(0.4085),tensor(0.9127)
tensor(0.5374),tensor(0.8433)
tensor(0.9085),tensor(-0.4180)
tensor(0.8518),tensor(0.5238)
tensor(0.2746),tensor(0.9616)
tensor(0.2746),tensor(0.9616)
tensor(0.1397),tensor(0.9902)
tensor(0.1397),tensor(0.9902)
tensor(0.9085),tensor(-0.4180)
tensor(0.9222),tensor(0.3867)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.9737),tensor(-0.2277)
tensor(0.2746),tensor(0.9616)
tensor(0.5374),tensor(0.8433)
tensor(0.9734),tensor(-0.2289)
tensor(0.1397),tensor(0.9902)
tensor(0.4588),tensor(0.8885)
tensor(0.9222),tensor(0.3867)
tensor(0.8518),tensor(0.5238)
tensor(0.9487),tensor(-0.3161)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.9665),tensor(-0.2568)
tensor(0.5374),tensor(0.8433)
tensor(0.8518),tensor(0.5238)
tensor(0.9734),tensor(-0.2289)
tensor(0.9487),tensor(-0.3161)
tensor(0.4085),tensor(0.9127)
tensor(0.9665),tensor(-0.2568)
tensor(0.9222),tensor(0.3867)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.2852),tensor(0.9585)
tensor(0.3366),tensor(0.9416)
tensor(0.9734),tensor(-0.2289)
tensor(0.1397),tensor(0.9902)
tensor(0.1838),tensor(0.9830)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.9222),tensor(0.3867)
tensor(0.9487),tensor(-0.3161)
tensor(0.3366),tensor(0.9416)
tensor(0.9487),tensor(-0.3161)
tensor(0.9737),tensor(-0.2277)
tensor(0.3366),tensor(0.9416)
tensor(0.8518),tensor(0.5238)
tensor(0.3222),tensor(0.9467)
tensor(0.3222),tensor(0.9467)
tensor(0.1691),tensor(0.9856)
tensor(0.3335),tensor(0.9427)
tensor(0.1397),tensor(0.9902)
tensor(0.3522),tensor(0.9359)
tensor(0.2746),tensor(0.9616)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.9222),tensor(0.3867)
tensor(0.1397),tensor(0.9902)
tensor(0.3335),tensor(0.9427)
tensor(0.3335),tensor(0.9427)
tensor(0.9646),tensor(-0.2638)
tensor(0.3366),tensor(0.9416)
tensor(0.2746),tensor(0.9616)
tensor(0.9579),tensor(-0.2873)
tensor(0.2852),tensor(0.9585)
tensor(0.3222),tensor(0.9467)
tensor(0.1397),tensor(0.9902)
tensor(0.3335),tensor(0.9427)
tensor(0.3222),tensor(0.9467)
tensor(0.9734),tensor(-0.2289)
tensor(0.3222),tensor(0.9467)
tensor(0.9222),tensor(0.3867)
tensor(0.9665),tensor(-0.2568)
tensor(0.1397),tensor(0.9902)
tensor(0.4085),tensor(0.9127)
tensor(0.9734),tensor(-0.2289)
tensor(0.3522),tensor(0.9359)
tensor(0.3366),tensor(0.9416)
tensor(0.3335),tensor(0.9427)
tensor(0.9487),tensor(-0.3161)
tensor(0.9487),tensor(-0.3161)
tensor(0.5374),tensor(0.8433)
tensor(0.9984),tensor(-0.0571)
tensor(0.2746),tensor(0.9616)
tensor(0.9222),tensor(0.3867)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.9725),tensor(-0.2327)
tensor(0.3742),tensor(0.9274)
tensor(0.2746),tensor(0.9616)
tensor(0.3222),tensor(0.9467)
tensor(0.5374),tensor(0.8433)
tensor(0.8518),tensor(0.5238)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.9579),tensor(-0.2873)
tensor(0.3742),tensor(0.9274)
tensor(0.5374),tensor(0.8433)
tensor(0.9665),tensor(-0.2568)
tensor(0.9725),tensor(-0.2327)
tensor(0.9273),tensor(-0.3742)
tensor(0.9665),tensor(-0.2568)
tensor(0.3366),tensor(0.9416)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.9273),tensor(-0.3742)
tensor(0.3522),tensor(0.9359)
tensor(0.9273),tensor(-0.3742)
tensor(0.4588),tensor(0.8885)
tensor(0.1397),tensor(0.9902)
tensor(0.9725),tensor(-0.2327)
tensor(0.1397),tensor(0.9902)
tensor(0.9734),tensor(-0.2289)
tensor(0.3742),tensor(0.9274)
tensor(0.9222),tensor(0.3867)
tensor(0.2746),tensor(0.9616)
tensor(0.9665),tensor(-0.2568)
tensor(0.2220),tensor(0.9751)
tensor(0.9487),tensor(-0.3161)
tensor(0.5374),tensor(0.8433)
tensor(0.3335),tensor(0.9427)
tensor(0.5374),tensor(0.8433)
tensor(0.3742),tensor(0.9274)
tensor(0.6629),tensor(0.7487)
tensor(0.9273),tensor(-0.3742)
tensor(0.9487),tensor(-0.3161)
tensor(0.2746),tensor(0.9616)
tensor(0.2220),tensor(0.9751)
tensor(0.9665),tensor(-0.2568)
tensor(0.9579),tensor(-0.2873)
tensor(0.9579),tensor(-0.2873)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.2746),tensor(0.9616)
tensor(0.9665),tensor(-0.2568)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.2746),tensor(0.9616)
tensor(0.9826),tensor(0.1857)
tensor(0.3522),tensor(0.9359)
tensor(0.9487),tensor(-0.3161)
tensor(0.9579),tensor(-0.2873)
tensor(0.8518),tensor(0.5238)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.9222),tensor(0.3867)
tensor(0.9579),tensor(-0.2873)
tensor(0.1397),tensor(0.9902)
tensor(0.8518),tensor(0.5238)
tensor(0.3335),tensor(0.9427)
tensor(0.9579),tensor(-0.2873)
tensor(0.1397),tensor(0.9902)
tensor(0.3222),tensor(0.9467)
tensor(0.2746),tensor(0.9616)
tensor(0.9734),tensor(-0.2289)
tensor(0.5374),tensor(0.8433)
tensor(0.3742),tensor(0.9274)
tensor(0.3366),tensor(0.9416)
tensor(0.3222),tensor(0.9467)
tensor(0.2746),tensor(0.9616)
tensor(0.3742),tensor(0.9274)
tensor(0.9085),tensor(-0.4180)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.9734),tensor(-0.2289)
tensor(0.9273),tensor(-0.3742)
tensor(0.1691),tensor(0.9856)
tensor(0.9222),tensor(0.3867)
tensor(0.2746),tensor(0.9616)
tensor(0.1397),tensor(0.9902)
tensor(0.9677),tensor(-0.2523)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.9222),tensor(0.3867)
tensor(0.9737),tensor(-0.2277)
tensor(0.2746),tensor(0.9616)
tensor(0.9734),tensor(-0.2289)
tensor(0.9487),tensor(-0.3161)
tensor(0.9737),tensor(-0.2277)
tensor(0.3335),tensor(0.9427)
tensor(0.9487),tensor(-0.3161)
tensor(0.3366),tensor(0.9416)
tensor(0.7408),tensor(0.6717)
tensor(0.9222),tensor(0.3867)
tensor(0.9487),tensor(-0.3161)
tensor(0.9665),tensor(-0.2568)
tensor(0.8518),tensor(0.5238)
tensor(0.2746),tensor(0.9616)
tensor(0.9222),tensor(0.3867)
tensor(0.3366),tensor(0.9416)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.6629),tensor(0.7487)
tensor(0.9734),tensor(-0.2289)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.9984),tensor(-0.0571)
tensor(0.5374),tensor(0.8433)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.9579),tensor(-0.2873)
tensor(0.9487),tensor(-0.3161)
tensor(0.5374),tensor(0.8433)
tensor(0.8518),tensor(0.5238)
tensor(0.9222),tensor(0.3867)
tensor(0.9222),tensor(0.3867)
tensor(0.9734),tensor(-0.2289)
tensor(0.9487),tensor(-0.3161)
tensor(0.3222),tensor(0.9467)
tensor(0.3742),tensor(0.9274)
tensor(0.9222),tensor(0.3867)
tensor(0.9579),tensor(-0.2873)
tensor(0.3366),tensor(0.9416)
tensor(0.6629),tensor(0.7487)
tensor(0.2746),tensor(0.9616)
tensor(0.2585),tensor(0.9660)
tensor(0.2746),tensor(0.9616)
tensor(0.3335),tensor(0.9427)
tensor(0.1397),tensor(0.9902)
tensor(0.9734),tensor(-0.2289)
tensor(0.1397),tensor(0.9902)
tensor(0.1397),tensor(0.9902)
tensor(0.8518),tensor(0.5238)
tensor(0.2746),tensor(0.9616)
tensor(0.2852),tensor(0.9585)
tensor(0.9222),tensor(0.3867)
tensor(0.1397),tensor(0.9902)
tensor(0.9725),tensor(-0.2327)
tensor(0.4588),tensor(0.8885)
tensor(0.9725),tensor(-0.2327)
tensor(0.8518),tensor(0.5238)
tensor(0.9222),tensor(0.3867)
tensor(0.3335),tensor(0.9427)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.3742),tensor(0.9274)
tensor(0.9665),tensor(-0.2568)
tensor(0.9734),tensor(-0.2289)
tensor(0.3742),tensor(0.9274)
tensor(0.9665),tensor(-0.2568)
tensor(0.9734),tensor(-0.2289)
tensor(0.3742),tensor(0.9274)
tensor(0.2746),tensor(0.9616)
tensor(0.3222),tensor(0.9467)
tensor(0.8518),tensor(0.5238)
tensor(0.9737),tensor(-0.2277)
tensor(0.1397),tensor(0.9902)
tensor(0.3222),tensor(0.9467)
tensor(0.9734),tensor(-0.2289)
tensor(0.9487),tensor(-0.3161)
tensor(0.9222),tensor(0.3867)
tensor(0.9579),tensor(-0.2873)
tensor(0.9487),tensor(-0.3161)
tensor(0.9665),tensor(-0.2568)
tensor(0.3222),tensor(0.9467)
tensor(0.9737),tensor(-0.2277)
tensor(0.9579),tensor(-0.2873)
tensor(0.3222),tensor(0.9467)
tensor(0.9222),tensor(0.3867)
tensor(0.9487),tensor(-0.3161)
tensor(0.9487),tensor(-0.3161)
tensor(0.8518),tensor(0.5238)
tensor(0.3366),tensor(0.9416)
tensor(0.9222),tensor(0.3867)
tensor(0.2852),tensor(0.9585)
tensor(0.9222),tensor(0.3867)
tensor(0.9085),tensor(-0.4180)
tensor(0.3222),tensor(0.9467)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.5374),tensor(0.8433)
tensor(0.1397),tensor(0.9902)
tensor(0.9665),tensor(-0.2568)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.2746),tensor(0.9616)
tensor(0.3742),tensor(0.9274)
tensor(0.9579),tensor(-0.2873)
tensor(0.1397),tensor(0.9902)
tensor(0.9273),tensor(-0.3742)
tensor(0.5374),tensor(0.8433)
tensor(0.9222),tensor(0.3867)
tensor(0.4588),tensor(0.8885)
tensor(0.3366),tensor(0.9416)
tensor(0.9222),tensor(0.3867)
tensor(0.8518),tensor(0.5238)
tensor(0.9222),tensor(0.3867)
tensor(0.1397),tensor(0.9902)
tensor(0.2852),tensor(0.9585)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.9725),tensor(-0.2327)
tensor(0.1521),tensor(0.9884)
tensor(0.9984),tensor(-0.0571)
tensor(0.9579),tensor(-0.2873)
tensor(0.6629),tensor(0.7487)
tensor(0.3335),tensor(0.9427)
tensor(0.9273),tensor(-0.3742)
tensor(0.9222),tensor(0.3867)
tensor(0.9725),tensor(-0.2327)
tensor(0.3222),tensor(0.9467)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.9734),tensor(-0.2289)
tensor(0.9984),tensor(-0.0571)
tensor(0.9680),tensor(-0.2510)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.9737),tensor(-0.2277)
tensor(0.9222),tensor(0.3867)
tensor(0.9984),tensor(-0.0571)
tensor(0.5374),tensor(0.8433)
tensor(0.9222),tensor(0.3867)
tensor(0.5374),tensor(0.8433)
tensor(0.5374),tensor(0.8433)
tensor(0.9222),tensor(0.3867)
tensor(0.9487),tensor(-0.3161)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.9734),tensor(-0.2289)
tensor(0.5374),tensor(0.8433)
tensor(0.8518),tensor(0.5238)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.3366),tensor(0.9416)
tensor(0.9085),tensor(-0.4180)
tensor(0.1397),tensor(0.9902)
tensor(0.3222),tensor(0.9467)
tensor(0.3222),tensor(0.9467)
tensor(0.2746),tensor(0.9616)
tensor(0.9984),tensor(-0.0571)
tensor(0.9222),tensor(0.3867)
tensor(0.9665),tensor(-0.2568)
tensor(0.9222),tensor(0.3867)
tensor(0.5374),tensor(0.8433)
tensor(0.3742),tensor(0.9274)
tensor(0.9273),tensor(-0.3742)
tensor(0.1691),tensor(0.9856)
tensor(0.9984),tensor(-0.0571)
tensor(0.2746),tensor(0.9616)
tensor(0.3335),tensor(0.9427)
tensor(0.3742),tensor(0.9274)
tensor(0.9734),tensor(-0.2289)
tensor(0.4085),tensor(0.9127)
tensor(0.9665),tensor(-0.2568)
tensor(0.3366),tensor(0.9416)
tensor(0.2746),tensor(0.9616)
tensor(0.9222),tensor(0.3867)
tensor(0.9222),tensor(0.3867)
tensor(0.3366),tensor(0.9416)
tensor(0.9273),tensor(-0.3742)
tensor(0.3742),tensor(0.9274)
tensor(0.5374),tensor(0.8433)
tensor(0.3522),tensor(0.9359)
tensor(0.3366),tensor(0.9416)
tensor(0.2746),tensor(0.9616)
tensor(0.3742),tensor(0.9274)
tensor(0.9665),tensor(-0.2568)
tensor(0.4085),tensor(0.9127)
tensor(0.3366),tensor(0.9416)
tensor(0.9222),tensor(0.3867)
tensor(0.3366),tensor(0.9416)
tensor(0.9085),tensor(-0.4180)
tensor(0.3522),tensor(0.9359)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.9665),tensor(-0.2568)
tensor(0.9487),tensor(-0.3161)
tensor(0.1691),tensor(0.9856)
tensor(0.8518),tensor(0.5238)
tensor(0.3366),tensor(0.9416)
tensor(0.9579),tensor(-0.2873)
tensor(0.9273),tensor(-0.3742)
tensor(0.9273),tensor(-0.3742)
tensor(0.5374),tensor(0.8433)
tensor(0.9487),tensor(-0.3161)
tensor(0.3522),tensor(0.9359)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.3335),tensor(0.9427)
tensor(0.3366),tensor(0.9416)
tensor(0.6629),tensor(0.7487)
tensor(0.2746),tensor(0.9616)
tensor(0.9665),tensor(-0.2568)
tensor(0.3742),tensor(0.9274)
tensor(0.9222),tensor(0.3867)
tensor(0.3335),tensor(0.9427)
tensor(0.9725),tensor(-0.2327)
tensor(0.9665),tensor(-0.2568)
tensor(0.9487),tensor(-0.3161)
tensor(0.9725),tensor(-0.2327)
tensor(0.9085),tensor(-0.4180)
tensor(0.9273),tensor(-0.3742)
tensor(0.8518),tensor(0.5238)
tensor(0.5374),tensor(0.8433)
tensor(0.8518),tensor(0.5238)
tensor(0.9487),tensor(-0.3161)
tensor(0.9725),tensor(-0.2327)
tensor(0.9579),tensor(-0.2873)
tensor(0.9665),tensor(-0.2568)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.2746),tensor(0.9616)
tensor(0.8518),tensor(0.5238)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.1691),tensor(0.9856)
tensor(0.4588),tensor(0.8885)
tensor(0.2746),tensor(0.9616)
tensor(0.9085),tensor(-0.4180)
tensor(0.3335),tensor(0.9427)
tensor(0.3366),tensor(0.9416)
tensor(0.9737),tensor(-0.2277)
tensor(0.2746),tensor(0.9616)
tensor(0.6629),tensor(0.7487)
tensor(0.3366),tensor(0.9416)
tensor(0.2746),tensor(0.9616)
tensor(0.1397),tensor(0.9902)
tensor(0.2746),tensor(0.9616)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.1691),tensor(0.9856)
tensor(0.9579),tensor(-0.2873)
tensor(0.9487),tensor(-0.3161)
tensor(0.3222),tensor(0.9467)
tensor(0.3742),tensor(0.9274)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.9725),tensor(-0.2327)
tensor(0.8518),tensor(0.5238)
tensor(0.9579),tensor(-0.2873)
tensor(0.9487),tensor(-0.3161)
tensor(0.9222),tensor(0.3867)
tensor(0.9984),tensor(-0.0571)
tensor(0.9737),tensor(-0.2277)
tensor(0.9734),tensor(-0.2289)
tensor(0.2746),tensor(0.9616)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.8518),tensor(0.5238)
tensor(0.2746),tensor(0.9616)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.3335),tensor(0.9427)
tensor(0.2746),tensor(0.9616)
tensor(0.3335),tensor(0.9427)
tensor(0.4588),tensor(0.8885)
tensor(0.2220),tensor(0.9751)
tensor(0.9222),tensor(0.3867)
tensor(0.9487),tensor(-0.3161)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.9665),tensor(-0.2568)
tensor(0.9273),tensor(-0.3742)
tensor(0.2746),tensor(0.9616)
tensor(0.9725),tensor(-0.2327)
tensor(0.4085),tensor(0.9127)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.8518),tensor(0.5238)
tensor(0.3366),tensor(0.9416)
tensor(0.9487),tensor(-0.3161)
tensor(0.2746),tensor(0.9616)
tensor(0.9085),tensor(-0.4180)
tensor(0.9085),tensor(-0.4180)
tensor(0.1397),tensor(0.9902)
tensor(0.7843),tensor(0.6203)
tensor(0.1397),tensor(0.9902)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.3222),tensor(0.9467)
tensor(0.3522),tensor(0.9359)
tensor(0.9734),tensor(-0.2289)
tensor(0.9487),tensor(-0.3161)
tensor(0.5374),tensor(0.8433)
tensor(0.3522),tensor(0.9359)
tensor(0.9222),tensor(0.3867)
tensor(0.9222),tensor(0.3867)
tensor(0.1397),tensor(0.9902)
tensor(0.5374),tensor(0.8433)
tensor(0.2746),tensor(0.9616)
tensor(0.1397),tensor(0.9902)
tensor(0.9273),tensor(-0.3742)
tensor(0.9487),tensor(-0.3161)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.9665),tensor(-0.2568)
tensor(0.1397),tensor(0.9902)
tensor(0.3366),tensor(0.9416)
tensor(0.3742),tensor(0.9274)
tensor(0.9665),tensor(-0.2568)
tensor(0.3522),tensor(0.9359)
tensor(0.3366),tensor(0.9416)
tensor(0.7408),tensor(0.6717)
tensor(0.1397),tensor(0.9902)
tensor(0.3335),tensor(0.9427)
tensor(0.5374),tensor(0.8433)
tensor(0.3335),tensor(0.9427)
tensor(0.9487),tensor(-0.3161)
tensor(0.5374),tensor(0.8433)
tensor(0.9273),tensor(-0.3742)
tensor(0.9737),tensor(-0.2277)
tensor(0.9222),tensor(0.3867)
tensor(0.9737),tensor(-0.2277)
tensor(0.8518),tensor(0.5238)
tensor(0.5374),tensor(0.8433)
tensor(0.3335),tensor(0.9427)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.9984),tensor(-0.0571)
tensor(0.9222),tensor(0.3867)
tensor(0.9085),tensor(-0.4180)
tensor(0.3366),tensor(0.9416)
tensor(0.1397),tensor(0.9902)
tensor(0.1397),tensor(0.9902)
tensor(0.9725),tensor(-0.2327)
tensor(0.1397),tensor(0.9902)
tensor(0.5374),tensor(0.8433)
tensor(0.1691),tensor(0.9856)
tensor(0.9734),tensor(-0.2289)
tensor(0.8518),tensor(0.5238)
tensor(0.9725),tensor(-0.2327)
tensor(0.8518),tensor(0.5238)
tensor(0.9734),tensor(-0.2289)
tensor(0.3366),tensor(0.9416)
tensor(0.9222),tensor(0.3867)
tensor(0.4085),tensor(0.9127)
tensor(0.3222),tensor(0.9467)
tensor(0.3366),tensor(0.9416)
tensor(0.9680),tensor(-0.2510)
tensor(0.8518),tensor(0.5238)
tensor(0.9273),tensor(-0.3742)
tensor(0.3222),tensor(0.9467)
tensor(0.2746),tensor(0.9616)
tensor(0.3222),tensor(0.9467)
tensor(0.9273),tensor(-0.3742)
tensor(0.5374),tensor(0.8433)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.3366),tensor(0.9416)
tensor(0.5374),tensor(0.8433)
tensor(0.3366),tensor(0.9416)
tensor(0.9725),tensor(-0.2327)
tensor(0.2746),tensor(0.9616)
tensor(0.2746),tensor(0.9616)
tensor(0.9487),tensor(-0.3161)
tensor(0.9646),tensor(-0.2638)
tensor(0.5374),tensor(0.8433)
tensor(0.2220),tensor(0.9751)
tensor(0.9665),tensor(-0.2568)
tensor(0.5374),tensor(0.8433)
